Username;Comment;Target;Label
ali_h_sangun;Abu CABUL OTAK BELLENG BELENG;['None'];Hate
supriatna2506;Abu bangsat;['None'];Hate
w_d1982;Abu gosok mana woooyyy;['None'];Hate
taudahlupagua;Ah China Sampah Doang Luh Di Indonesia Pulang Sonoh Luh;['None'];Hate
rayhansimanjuntak7;Akibat presidennya orang CINA Seolah indonesia sudah seperti rumahnya sendiri Dan pribumi dianggap seperti sampah Apa kalian ga sadar wahai CEBONG;['None'];Hate
hshlndrs;Anis kontol;['None'];Hate
althafarief;Anjing Ngentt emngnya knapa N_Target N_Target;['agamrusdi96', 'mhmmdinsan_'];Hate
momy.chan_;Apa kabar ya kolam cebong togog kalau mati lampu gini jgn mereka ngap ngapan kehabisan oksegen;['None'];Hate
basmagroups;Apaaaa tahu Penguasa Dzalim tp km membiarkannya Dzalim dengan mengatas namakan Rakyat makmur Justru dengan yg dilakukan Pak Prabowo adalah mengundang Adzab ALLAH SWT;['None'];Hate
olshop.bdg86;Asbun mulut si jaenudin ini;['None'];Hate
mad3linux;Aseli ga faham cara berfikir ini orang apa mesti dungu gitu buat jd ngerti ebong;['None'];Hate
masbayu77;Astaghfirullah Tanya Kenapa Pakdhe RAJA MALING N_Target Tumaannn;['jokowi'];Hate
iskandarz55;BANSER MEONG;['None'];Hate
dewi.massitoh;Badai Barunya People Poweeeeeer hei rakyat yg TERDZOLIMIN terPHK sepihak Cebongers yg tertipu Jae Ayuuuk nguuuuumpul ambil kedaulatan rakyat nyolong dibalas nyolong nyawa dibalas nyawa n culik pa Prabowo biar gak denger bisikan pengkhianat setelah pemerintahan ditgn rakyAt keluarkan prabowo jd pemimpin insyaAllah Chaos rakyAt Indonsia ridhoin ALLAH TAKBIIIR ALLAHU AKBAR;['None'];Hate
aadrian_1010;Baik menurut cebong sudah pasti laknatullah menurut syariat;['None'];Hate
raffa_gaffara77;Bajingan kau mukidi;['None'];Hate
ummi_rsfaf;Bakalan babak belur pdt Esra;['None'];Hate
achdinboy;Bakkkaaar ja tu china;['None'];Hate
dafaswaty;Balas juga di Indonesia harus dibuat peraturan yg sama ini malah pada bego di Indonesia Cina di elu kan sprt raja sementara kita di cina dibuat sprt kacung;['None'];Hate
heendiisurya;BanSerep setiap unjuk Gigi kebal Goloklah Kebal Gebuk lah susuh ke papua Gempor;['None'];Hate
fikri_mhmd;Bangsad cina;['None'];Hate
mujahidfisabi;Banser artinya ban serep wkwkwk;['None'];Hate
wiumra;Banser mana dasar BanSerap;['None'];Hate
herikurniawan43;Banser tak perlu di jelekin udah keliatan jelek nya Tariiiikkk goyaaaang;['None'];Hate
moh.ersan.afriyona;Bantai PKI jika melihat segera lapor;['None'];Hate
arief_pratama2;Begitulah komunis Cina dikasih hati malah ngelunjak ke warga lokal;['None'];Hate
dithakurniaputri;Berarti bener ya yg dicobloosin masal itu ya berarti MK TAIIIIII;['None'];Hate
omenshakim;Betul tuh jangan dengerin anjing anjing didunia Maya komunis liberalisme fucks JIL;['None'];Hate
rifqyfauzyrahman;Biar banyak dulu cina cina itu uda banyak biar buat onar dulu Udah selesai onarnya kita cingcang kemudian;['None'];Hate
arpisdonalta;Biji cebong digoreng enak;['None'];Hate
oktaaviianus;Blom terulang kejadian cina dulu di bakar;['None'];Hate
zensbungsuh;Bodooooooh Jellas PKI yg sangat kejam Kpada Ulamak;['None'];Hate
